hash0, hash1, hash2, hash3, hash4, hash5, hash6, PJW
1442, 1402, 1465, 1368, 1456, 5876, 1386, 1446
1430, 1416, 1533, 1422, 1493, 5723, 1017, 1500
1473, 1491, 1606, 1330, 1420, 5837, 722, 1414
1398, 1397, 1642, 1282, 1466, 5741, 1498, 1393
1446, 1476, 1557, 1337, 1412, 5742, 1158, 1475
1508, 1503, 1575, 1321, 1420, 5796, 1272, 1448
1423, 1389, 1517, 1319, 1390, 5710, 1974, 1470
1392, 1389, 1547, 1315, 1375, 5784, 1254, 1387
1472, 1470, 1584, 1258, 1466, 5700, 770, 1401
1444, 1443, 1553, 1268, 1409, 5895, 1222, 1468
1509, 1504, 1550, 1268, 1453, 5855, 2201, 1429
1460, 1454, 1559, 1237, 1519, 5656, 978, 1397
1417, 1415, 1557, 1306, 1416, 5765, 947, 1501
1456, 1432, 1593, 1328, 1391, 5802, 1711, 1438
1437, 1434, 1642, 1291, 1398, 5664, 1163, 1468
1442, 1400, 1606, 1315, 1436, 5817, 1249, 1438
1411, 1400, 1552, 1295, 1428, 5703, 1866, 1461
1397, 1436, 1576, 1288, 1464, 5843, 756, 1386
1471, 1500, 1488, 1392, 1433, 5872, 943, 1373
1421, 1408, 1520, 1386, 1400, 5759, 2275, 1484
1454, 1488, 1562, 1340, 1372, 5893, 1128, 1418
1464, 1454, 1524, 1376, 1465, 5922, 2148, 1381
1433, 1431, 1637, 1294, 1502, 5848, 1727, 1471
1380, 1421, 1582, 1390, 1409, 5814, 1051, 1416
1481, 1461, 1618, 1452, 1497, 5824, 1288, 1375
1414, 1430, 1555, 1415, 1442, 5772, 3043, 1441
1413, 1396, 1499, 1377, 1466, 5815, 906, 1467
1467, 1453, 1595, 1403, 1488, 5681, 1181, 1481
1396, 1390, 1612, 1378, 1473, 5798, 1752, 1372
1453, 1450, 1640, 1442, 1477, 5748, 861, 1426
1379, 1406, 1586, 1443, 1494, 5946, 944, 1400
1464, 1458, 1521, 1438, 1372, 5758, 1600, 1381
1415, 1431, 1535, 1407, 1418, 0, 1126, 1431
1484, 1476, 1589, 1489, 1446, 0, 1230, 1446
1443, 1467, 1563, 1371, 1463, 0, 1843, 1413
1458, 1443, 1617, 1329, 1454, 0, 963, 1457
1444, 1459, 1556, 1389, 1429, 0, 2124, 1419
1437, 1437, 1552, 1362, 1509, 0, 2484, 1393
1420, 1445, 1582, 1374, 1418, 0, 779, 1396
1407, 1372, 1559, 1392, 1436, 0, 1021, 1422
1405, 1393, 1583, 1399, 1515, 0, 2203, 1443
1484, 1474, 1551, 1361, 1456, 0, 1242, 1515
1415, 1410, 1503, 1342, 1412, 0, 1393, 1458
1480, 1510, 1585, 1370, 1430, 0, 1550, 1410
1426, 1447, 1539, 1369, 1417, 0, 1451, 1394
1478, 1454, 1492, 1403, 1350, 0, 1255, 1480
1398, 1378, 1587, 1447, 1432, 0, 1824, 1361
1449, 1433, 1499, 1446, 1429, 0, 1123, 1412
1426, 1412, 1520, 1386, 1466, 0, 1526, 1409
1504, 1474, 1571, 1386, 1434, 0, 1613, 1429
1397, 1393, 1477, 1333, 1502, 0, 892, 1412
1447, 1451, 1523, 1361, 1417, 0, 1836, 1474
1478, 1495, 1486, 1377, 1490, 0, 1635, 1381
1403, 1403, 1466, 1340, 1455, 0, 803, 1400
1502, 1483, 1609, 1387, 1471, 0, 1115, 1470
1409, 1393, 1494, 1416, 1485, 0, 2168, 1449
1441, 1491, 1498, 1386, 1464, 0, 1057, 1413
1413, 1364, 1488, 1349, 1440, 0, 2989, 1404
1418, 1452, 1549, 1324, 1452, 0, 1596, 1435
1386, 1389, 1485, 1432, 1456, 0, 1691, 1457
1487, 1483, 1586, 1429, 1418, 0, 992, 1403
1450, 1434, 1510, 1447, 1393, 0, 1828, 1489
1423, 1453, 1526, 1431, 1411, 0, 2151, 1467
1478, 1446, 1440, 1461, 1517, 0, 1332, 1429
1400, 1385, 1508, 1451, 1472, 0, 1685, 1340
1421, 1427, 1483, 1423, 1454, 0, 885, 1369
1496, 1488, 1474, 1409, 1458, 0, 952, 1406
1455, 1435, 1475, 1478, 1533, 0, 1393, 1463
1446, 1480, 1497, 1437, 1419, 0, 1998, 1418
1466, 1468, 1480, 1453, 1467, 0, 1493, 1428
1447, 1415, 1523, 1458, 1475, 0, 1799, 1469
1456, 1463, 1458, 1519, 1353, 0, 902, 1435
1442, 1437, 1460, 1491, 1404, 0, 1640, 1438
1456, 1423, 1514, 1507, 1442, 0, 1482, 1445
1371, 1367, 1473, 1487, 1378, 0, 1654, 1411
1446, 1453, 1439, 1506, 1419, 0, 1347, 1428
1405, 1431, 1499, 1509, 1451, 0, 1752, 1525
1433, 1407, 1475, 1517, 1424, 0, 1589, 1371
1483, 1469, 1512, 1523, 1445, 0, 1251, 1455
1423, 1385, 1478, 1543, 1450, 0, 1318, 1373
1415, 1438, 1529, 1441, 1384, 0, 1223, 1406
1497, 1451, 1498, 1497, 1413, 0, 1555, 1391
1409, 1446, 1536, 1517, 1444, 0, 1654, 1425
1379, 1376, 1469, 1454, 1503, 0, 2095, 1429
1439, 1490, 1507, 1590, 1442, 0, 1576, 1493
1344, 1374, 1554, 1610, 1505, 0, 1161, 1394
1451, 1447, 1498, 1546, 1481, 0, 1470, 1403
1398, 1385, 1521, 1581, 1401, 0, 1702, 1495
1463, 1462, 1503, 1542, 1435, 0, 946, 1487
1435, 1445, 1480, 1571, 1431, 0, 1514, 1456
1427, 1415, 1474, 1612, 1465, 0, 1479, 1447
1380, 1385, 1546, 1585, 1398, 0, 1414, 1473
1390, 1442, 1418, 1597, 1449, 0, 938, 1328
1520, 1496, 1506, 1555, 1414, 0, 1778, 1459
1525, 1545, 1553, 1569, 1441, 0, 1236, 1409
1528, 1516, 1530, 1561, 1453, 0, 1338, 1464
1454, 1435, 1532, 1512, 1444, 5866, 1663, 1399
1459, 1466, 1588, 1554, 1433, 5759, 947, 1456
1424, 1426, 1490, 1508, 1426, 5765, 1294, 1432
1495, 1488, 1520, 1535, 1489, 5728, 1121, 1487
1423, 1416, 1544, 1485, 1464, 5655, 1172, 1473
1409, 1446, 1522, 1574, 1517, 5869, 1170, 1424
1437, 1428, 1539, 1560, 1392, 5857, 2590, 1421
1488, 1427, 1486, 1480, 1445, 5715, 1546, 1394
1472, 1436, 1514, 1493, 1407, 5804, 1480, 1395
1420, 1445, 1474, 1479, 1392, 5779, 1039, 1425
1421, 1432, 1440, 1382, 1435, 5798, 1923, 1419
1432, 1452, 1500, 1401, 1500, 5847, 1238, 1511
1466, 1475, 1553, 1460, 1423, 5707, 1005, 1407
1393, 1354, 1456, 1408, 1389, 5776, 1204, 1446
1484, 1430, 1433, 1500, 1403, 5685, 1608, 1468
1388, 1376, 1402, 1394, 1469, 5689, 1089, 1379
1429, 1457, 1511, 1478, 1406, 5757, 1456, 1412
1465, 1467, 1433, 1570, 1435, 5767, 1142, 1486
1447, 1467, 1433, 1456, 1438, 5872, 1018, 1495
1456, 1484, 1499, 1467, 1457, 5762, 1294, 1446
1457, 1425, 1452, 1443, 1425, 5841, 969, 1438
1490, 1466, 1432, 1428, 1376, 5748, 1029, 1429
1468, 1443, 1427, 1493, 1413, 5752, 1331, 1456
1385, 1357, 1445, 1421, 1522, 5864, 1206, 1512
1402, 1421, 1460, 1377, 1434, 5669, 1117, 1384
1432, 1466, 1508, 1439, 1453, 5780, 1523, 1463
1447, 1400, 1497, 1477, 1389, 5877, 1225, 1401
1451, 1467, 1409, 1445, 1448, 5825, 1484, 1395
1457, 1450, 1446, 1484, 1438, 5812, 5224, 1436
1452, 1466, 1431, 1403, 1439, 5800, 1040, 1416
1445, 1420, 1455, 1458, 1455, 5768, 1507, 1428
1478, 1463, 1401, 1523, 1558, 5552, 1762, 1442
1491, 1474, 1398, 1438, 1416, 0, 798, 1433
1467, 1486, 1479, 1432, 1428, 0, 920, 1517
1469, 1469, 1428, 1453, 1484, 0, 883, 1467
1439, 1440, 1376, 1472, 1469, 0, 1028, 1428
1381, 1346, 1459, 1521, 1393, 0, 1987, 1453
1405, 1427, 1470, 1444, 1471, 0, 2473, 1544
1429, 1485, 1458, 1458, 1451, 0, 1089, 1542
1414, 1448, 1427, 1463, 1399, 0, 1323, 1496
1442, 1439, 1468, 1444, 1459, 0, 2112, 1462
1392, 1409, 1419, 1467, 1442, 0, 1094, 1424
1457, 1472, 1412, 1487, 1427, 0, 1004, 1453
1353, 1342, 1468, 1414, 1393, 0, 1962, 1362
1442, 1409, 1434, 1450, 1413, 0, 2390, 1441
1471, 1474, 1446, 1473, 1508, 0, 979, 1445
1514, 1474, 1419, 1407, 1462, 0, 4295, 1361
1500, 1477, 1395, 1435, 1483, 0, 1684, 1461
1402, 1421, 1358, 1500, 1399, 0, 1308, 1486
1351, 1394, 1425, 1433, 1429, 0, 1407, 1469
1489, 1469, 1402, 1394, 1464, 0, 2172, 1354
1382, 1420, 1432, 1347, 1453, 0, 1160, 1430
1484, 1497, 1340, 1364, 1382, 0, 790, 1403
1464, 1451, 1428, 1264, 1426, 0, 1716, 1460
1451, 1454, 1382, 1352, 1357, 0, 902, 1511
1498, 1506, 1418, 1312, 1451, 0, 1290, 1457
